ID,Scientific Name,Common Name,Native Status,County
4120,Orthotrichum ohioense Sullivant & Lesquereux,,N,Fauquier
4123,Orthotrichum stellatum Bridel,,N,Fauquier
4050,Oxyrrhynchium hians (Hedw.) Loeske,,N,Fauquier
4192,Phaeoceros carolinianus (Michx.) Prosk.,,N,Fauquier
4529,Physcomitrella patens (Hedw.) Bruch & Schimp.,,N,Fauquier
4131,Physcomitrium pyriforme (Hedw.) Hampe,,N,Fauquier
4108,Plagiomnium ciliare (Müll. Hal.) T.J. Kop.,,N,Fauquier
4109,Plagiomnium cuspidatum (Hedw.) T.J. Kop.,,N,Fauquier
4111,Plagiomnium medium (Bruch & Schimp.) T.J. Kop.,,N,Fauquier
4115,Plagiomnium rostratum (Schrad.) T.J. Kop.,,N,Fauquier
4132,Plagiothecium cavifolium (Brid.) Z. Iwats.,,N,Fauquier
4135,Platygyrium repens (Brid.) Schimp.,,N,Fauquier
4172,Platylomella lescurii (Sull.) A. L. Andrews,Bordered Brook Moss,N,Fauquier
4144,Pohlia nutans (Hedw.) Lindb.,,N,Fauquier
4145,Pohlia wahlenbergii (F. Weber & D. Mohr) A.L. Andrews,,N,Fauquier
4148,Polytrichastrum ohioense (Renauld & Cardot) G.L. Sm.,,N,Fauquier
4147,Polytrichum commune Hedwig var. commune,Common Haircap Moss,N,Fauquier
4146,Polytrichum juniperinum Hedwig,Juniper Haircap Moss,N,Fauquier
4273,Porella platyphylla (L.) Pfeiffer,,N,Fauquier
4441,Pseudocampylium radicale (P. Beauv.) Vanderpoorten & Hedenäs,,N,Fauquier
4096,Pseudotaxiphyllum elegans (Brid.) Z. Iwats.,,N,Fauquier
4275,Ptilidium pulcherrimum (Weber) Vain.,,N,Fauquier
4164,Ptychomitrium incurvum (Schwägr.) Spruce ,,N,Fauquier
4166,Pylaisia condensata (Mitt.) A. Jaeger,Paintbrush Moss,N,Fauquier
4000,Pylaisiadelpha tenuirostris (Bruch & Schimp. ex Sull.) W.R. Buck,,N,Fauquier
4464,Rauiella scita (P. Beauv.) Reimers,,N,Fauquier
4113,Rhizomnium punctatum (Hedw.) T.J. Kop.,,N,Fauquier
4168,Rhodobryum ontariense (Kindb.) Kindb.,Rose Moss,N,Fauquier
4471,Rhynchostegium serrulatum (Hedw.) A. Jaeger,,N,Fauquier
4285,Riccardia chamedryfolia (With.) Grolle,,N,Fauquier
4352,Scapania nemorea (L.) Grolle,,N,Fauquier
4068,Schistidium apocarpum (Hedw.) Bruch & Schimp.,,N,Fauquier
4171,Schwetschkeopsis fabronia (Schwägr.) Broth.,,N,Fauquier
3995,Sciuro-hypnum plumosum (Hedw.) Ignatov & Huttunen,,N,Fauquier
4173,Sematophyllum adnatum (Michx.) E. Britton,,N,Fauquier
4174,Sematophyllum demissum (Wilson) Mitt.,,N,Fauquier
3951,Sphagnum affine Renauld & Cardot,,N,Fauquier
3964,Sphagnum magellanicum Bridel,,N,Fauquier
3959,Sphagnum palustre Linnaeus,,N,Fauquier
3961,Sphagnum recurvum Palisot de Beauvois,,N,Fauquier
4325,"Syzygiella autumnalis (DC.) K. Feldberg, Vána, Hentschel & J. Heinrichs",,N,Fauquier
4176,Taxiphyllum deplanatum (Bruch & Schimp. ex Sull.) M. Fleisch.,,N,Fauquier
4177,Taxiphyllum taxirameum (Mitt.) M. Fleisch.,,N,Fauquier
4178,Tetraphis pellucida Hedwig var. pellucida,,N,Fauquier
4180,Thelia asprella (Schimp.) Sull.,,N,Fauquier
4182,Thelia lescurii Sullivant,,N,Fauquier
4183,Thuidium delicatulum (Hedw.) Schimp.,Delicate Fern Moss,N,Fauquier
4184,Thuidium recognitum (Hedw.) Lindb.,Kilt Fern Moss,N,Fauquier
4470,Torrentaria riparioides (Hedw.) Ochyra,,N,Fauquier
4185,Tortella humilis (Hedw.) Jenn.,,N,Fauquier
4298,Trichocolea tomentella (Ehrh.) Dumort.,,N,Fauquier
4160,Ulota hutchinsiae (Sm.) Hammar var. hutchinsiae,Rock Tuft Moss,N,Fauquier
4161,Weissia controversa Hedwig,,N,Fauquier
3980,Weissia muhlenbergiana (Sw.) W.D. Reese & B.A.E. Lemmon,,N,Fauquier
