ID,"Scientific Name","Common Name","Native Status",County
226,"Symphyotrichum dumosum (L.) Nesom var. dumosum","Bushy Aster",N,Fauquier
2317,"Symphyotrichum ericoides (L.) Nesom var. ericoides","White Heath Aster",N,Fauquier
309,"Symphyotrichum laeve (L.) A. & D. Love","Smooth Blue Aster, Smooth Aster",N,Fauquier
243,"Symphyotrichum lanceolatum (Willd.) Nesom","Panicled Aster, Eastern Lined Aster",N,Fauquier
2325,"Symphyotrichum lateriflorum (L.) A.& D. Love","Calico Aster, Starved Aster",N,Fauquier
2328,"Symphyotrichum novae-angliae (L.) Nesom","New England Aster",N,Fauquier
2330,"Symphyotrichum oblongifolium (Nutt.) Nesom","Aromatic Aster",N,Fauquier
2331,"Symphyotrichum patens (Ait.) Nesom var. patens","Late Purple Aster",N,Fauquier
2332,"Symphyotrichum phlogifolium (Muhl. ex Willd.) Nesom","Thin-leaf Late Purple Aster",N,Fauquier
308,"Symphyotrichum pilosum (Willd.) Nesom","Frost Aster",N,Fauquier
2333,"Symphyotrichum pilosum (Willd.) Nesom var. pilosum","Frost Aster, White Old-field Aster, Awl Aster",N,Fauquier
2334,"Symphyotrichum pilosum (Willd.) Nesom var. pringlei (Gray) Nesom","Frost Aster; Pringle's Aster",N,Fauquier
2337,"Symphyotrichum prenanthoides (Muhl. ex Willd.) Nesom","Crooked-stem Aster",N,Fauquier
2338,"Symphyotrichum puniceum (L.) A.& D. Love var. puniceum","Purple-stem Aster",N,Fauquier
2339,"Symphyotrichum racemosum (Ell.) Nesom var. racemosum","Small White Aster",N,Fauquier
2343,"Symphyotrichum undulatum (L.) Nesom","Wavy-leaved Aster",N,Fauquier
42,"Symplocarpus foetidus (L.) Salisbury ex W.P. C. Barton","Skunk Cabbage",N,Fauquier
1924,"Taenidia integerrima (L.) Drude","Yellow Pimpernel",N,Fauquier
2348,"Tanacetum vulgare L.","Common Tansy",I,Fauquier
2349,"Taraxacum erythrospermum Andrzejowski ex Besser","Red-seeded Dandelion",I,Fauquier
2350,"Taraxacum officinale G.H. Weber ex Wiggers","Common Dandelion",I,Fauquier
3586,"Tephrosia virginiana (L.) Pers.","Virginia Goat's-rue",N,Fauquier
3587,"Teucrium canadense L. var. canadense","Canada Germander, American Germander",N,Fauquier
3594,"Thalictrum amphibolum Greene","Skunk Meadow-rue",N,Fauquier
3589,"Thalictrum coriaceum (Britt.) Small","Appalachian Meadow-rue, Leatherleaf Meadow-rue, Maid of the Mist",N,Fauquier
3591,"Thalictrum dioicum L.","Early Meadow-rue",N,Fauquier
3593,"Thalictrum pubescens Pursh","Common Tall Meadow-rue",N,Fauquier
3595,"Thalictrum thalictroides (L.) Eames & Boivin",Rue-anemone,N,Fauquier
1922,"Thaspium barbinode (Michx.) Nutt.","Hairy-jointed Meadow Parsnip",N,Fauquier
962,"Thelypteris palustris Schott var. pubescens (Lawson) Fern.","Marsh Fern",N,Fauquier
316,"Thlaspi arvense Linnaeus","Field Pennycress",I,Fauquier
3598,"Thymus pulegioides L.","Broad-leaved Thyme, Lemon Thyme",I,Fauquier
4716,"Tiarella cordifolia L.","Heartleaf Foamflower",N,Fauquier
3602,"Tilia americana L.",Basswood,N,Fauquier
3603,"Tilia americana L. var. americana","American Basswood",N,Fauquier
3604,"Tilia americana L. var. heterophylla (Vent.) Loud.","White Basswood",N,Fauquier
1106,"Tipularia discolor (Pursh) Nutt.","Cranefly Orchid",N,Fauquier
1920,"Torilis arvensis (Huds.) Link ssp. recta Jury","Spreading Hedge Parsley",I,Fauquier
1919,"Torilis japonica (Houtt.) DC.","Japanese Hedge Parsley",I,Fauquier
759,"Toxicodendron pubescens P.Miller","Poison Oak",N,Fauquier
1979,"Toxicodendron radicans (L.) Kuntze var. radicans","Poison Ivy, Eastern Poison Ivy",N,Fauquier
1978,"Toxicodendron vernix (L.) Kuntze","Poison Sumac",N,Fauquier
2352,"Tragopogon dubius Scop.","Western Salsify, Yellow Salsify, Yellow Goat's-beard",I,Fauquier
4646,"Trapa bispinosa Roxb. var. iinumae Nakano","Two-horned Water-Chestnut, Two-horned Trapa",I,Fauquier
1451,"Trichophorum planifolium (Sprengel) Palla","Bashful Bulrush",N,Fauquier
3607,"Trichostema coeruleum (Michx.) K.S.McClell. & Weakley","False Pennyroyal",N,Fauquier
3608,"Trichostema dichotomum L.","Common Blue Curls, Forked Blue Curls",N,Fauquier
3609,"Trichostema setaceum Houtt.","Narrow-leaf Blue Curls",N,Fauquier
1733,"Tridens flavus (L.) A.S. Hitchc.","Purpletop, Tall Redtop",N,Fauquier
3610,"Trientalis borealis Raf.","Northern Starflower",N,Fauquier
3611,"Trifolium arvense L.","Rabbit-foot Clover",I,Fauquier
3612,"Trifolium aureum Pollich","Golden Clover, Large Hop Clover",I,Fauquier
3614,"Trifolium campestre Schreb.","Low Hop Clover",I,Fauquier
3616,"Trifolium hybridum L.","Alsike Clover",I,Fauquier
3617,"Trifolium incarnatum L.","Crimson Clover",I,Fauquier
3618,"Trifolium pratense L.","Red Clover",I,Fauquier
3620,"Trifolium repens L.","White Clover, Dutch Clover",I,Fauquier
1145,"Trillium cernuum L.","Nodding Trillium",N,Fauquier
1144,"Trillium erectum L.","Red Trillium, Wake-robin, Stinking Benjamin",N,Fauquier
1141,"Trillium grandiflorum (Michx.) Salisb.","Large-flowered Trillium, Great White Trillium",N,Fauquier
2498,"Triodanis perfoliata (L.) Nieuwl.","Venus' Looking-glass, Common Venus' Looking-glass",N,Fauquier
2499,"Triosteum angustifolium L.","Lesser Horse-gentian, Yellow Horse-gentian",N,Fauquier
2501,"Triosteum perfoliatum L.","Feverwort, Late Horse-gentian",N,Fauquier
3852,"Tripidium ravennae (L.) Scholz",Ravenna-grass,I,Fauquier
1736,"Tripsacum dactyloides (L.) L. var. dactyloides","Eastern Gamagrass",N,Fauquier
1738,"Triticum aestivum L.",Wheat,I,Fauquier
967,"Tsuga canadensis (L.) Carriere","Eastern Hemlock, Canada Hemlock",N,Fauquier
2355,"Tussilago farfara L.",Coltsfoot,I,Fauquier
1099,"Typha latifolia L.","Common Cattail, Broadleaf Cattail",N,Fauquier
3626,"Ulmus americana L.","American Elm",N,Fauquier
3627,"Ulmus parvifolia Jacq.","Chinese Elm, Lacebark Elm",I,Fauquier
3629,"Ulmus pumila L.","Siberian Elm",I,Fauquier
3630,"Ulmus rubra Muhl.","Slippery Elm, Red Elm",N,Fauquier
3632,"Urtica dioica L.","European Stinging Nettle, Great Nettle",I,Fauquier
3631,"Urtica dioica L. + Urtica gracilis Ait. ssp. gracilis","Stinging Nettle",,Fauquier
1136,"Uvularia perfoliata L.","Perfoliate Bellwort",N,Fauquier
1130,"Uvularia sessilifolia L.","Sessile Bellwort, Wild-oats",N,Fauquier
600,"Vaccinium formosum Andr.","Southern Highbush Blueberry, Swamp Highbush Blueberry",N,Fauquier
599,"Vaccinium fuscatum Ait.","Hairy Highbush Blueberry, Black Highbush Blueberry",N,Fauquier
1883,"Vaccinium pallidum Ait.","Early Lowbush Blueberry, Hillside Blueberry",N,Fauquier
596,"Vaccinium stamineum L.",Deerberry,N,Fauquier
3648,"Valerianella radiata (L.) Dufr.","Beaked Corn-salad",N,Fauquier
1131,"Veratrum viride Aiton","American False-hellebore, White Hellebore, Green Hellebore, Indian Poke",N,Fauquier
3651,"Verbascum blattaria L.","Moth Mullein",I,Fauquier
3653,"Verbascum phlomoides L.","Clasping Mullein, Orange Mullein",I,Fauquier
3654,"Verbascum thapsus L. ssp. thapsus","Common Mullein, Great Mullein Woolly Mullein, Flannel-plant, Velvet-plant",I,Fauquier
4688,"Verbena bonariensis L.","Purpletop Vervain",I,Fauquier
3658,"Verbena hastata L.","Blue Vervain, Common Vervain",N,Fauquier
3663,"Verbena simplex Lehm.","Narrow-leaf Vervain",N,Fauquier
3664,"Verbena urticifolia L.","White Vervain",N,Fauquier
2356,"Verbesina alternifolia (L.) Britt. ex Kearney",Wingstem,N,Fauquier
2357,"Verbesina occidentalis (L.) Walt.","Yellow Crownbeard",N,Fauquier
2359,"Vernonia gigantea (Walt.) Trel. ex Brann. & Cov.","Tall Ironweed",N,Fauquier
2360,"Vernonia glauca (L.) Willd.","Upland Ironweed, Broad-leaf Ironweed",N,Fauquier
2361,"Vernonia noveboracensis (L.) Michx.","New York Ironweed",N,Fauquier
3665,"Veronica agrestis L.","Field Speedwell",I,Fauquier
3667,"Veronica anagallis-aquatica L.","Water Speedwell, Brook Pimpernel",,Fauquier
3668,"Veronica arvensis L.","Corn Speedwell, Wall Speedwell",I,Fauquier
3671,"Veronica hederifolia L.","Ivy-leaf Speedwell",I,Fauquier
3672,"Veronica officinalis L.","Common Speedwell",,Fauquier
3673,"Veronica peregrina L. var. peregrina","Common Purslane Speedwell",N,Fauquier
